,participant_id,age,how_masculine,how_important
664,665,35 - 64,Somewhat ,Not at all 
665,666,65 and up,Very ,Very 
666,667,35 - 64,Very ,Somewhat 
667,668,35 - 64,Very ,Not very 
668,669,65 and up,Very ,Not at all 
669,670,35 - 64,Very ,Somewhat 
670,671,35 - 64,Somewhat ,Somewhat 
671,672,65 and up,Not very ,Not at all 
672,673,35 - 64,Very ,Not at all 
673,674,65 and up,Somewhat ,Not very 
674,675,35 - 64,Very ,Somewhat 
675,676,65 and up,Very ,Very 
676,677,35 - 64,Somewhat ,Not very 
677,678,35 - 64,Somewhat ,Somewhat 
678,679,35 - 64,Somewhat ,Not very 
679,680,35 - 64,Somewhat ,Somewhat 
680,681,65 and up,Somewhat ,Not very 
681,682,35 - 64,Very ,Somewhat 
682,683,35 - 64,Not very ,Not at all 
683,684,35 - 64,Somewhat ,Not at all 
684,685,65 and up,Not very ,Not very 
685,686,65 and up,Somewhat ,Not very 
686,687,35 - 64,Somewhat ,Not very 
687,688,35 - 64,Very ,Very 
688,689,35 - 64,Somewhat ,Very 
689,690,35 - 64,Somewhat ,Not very 
690,691,65 and up,Somewhat ,Not very 
691,692,35 - 64,Very ,Not at all 
692,693,65 and up,Very ,Not very 
693,694,65 and up,Somewhat ,Somewhat 
694,695,65 and up,Not very ,Not very 
695,696,65 and up,Somewhat ,Not very 
696,697,65 and up,Very ,Not at all 
697,698,35 - 64,Very ,Not very 
698,699,35 - 64,Somewhat ,Somewhat 
699,700,65 and up,Somewhat ,Somewhat 
700,701,65 and up,Somewhat ,Very 
701,702,35 - 64,Very ,Not at all 
702,703,35 - 64,Somewhat ,Not very 
703,704,65 and up,Somewhat ,Somewhat 
704,705,35 - 64,Somewhat ,Not very 
705,706,35 - 64,Not very ,Not very 
706,707,35 - 64,Somewhat ,Somewhat 
707,708,35 - 64,Somewhat ,Not very 
708,709,18 - 34,Very ,Not at all 
709,710,65 and up,Somewhat ,Not very 
710,711,65 and up,Somewhat ,Somewhat 
711,712,65 and up,Not at all ,Not at all 
712,713,65 and up,Somewhat ,Not at all 
713,714,35 - 64,Somewhat ,Not very 
714,715,18 - 34,Very ,Somewhat 
715,716,35 - 64,Somewhat ,Very 
716,717,65 and up,Very ,Somewhat 
717,718,35 - 64,Somewhat ,Not very 
718,719,35 - 64,Very ,Somewhat 
719,720,65 and up,Somewhat ,Not very 
720,721,65 and up,Somewhat ,Not very 
721,722,35 - 64,Somewhat ,Somewhat 
722,723,35 - 64,Somewhat ,Very 
723,724,35 - 64,Somewhat ,Very 
724,725,35 - 64,Very ,Somewhat 
725,726,65 and up,Very ,Very 
726,727,35 - 64,Somewhat ,Somewhat 
727,728,35 - 64,Somewhat ,Somewhat 
728,729,65 and up,Very ,Not very 
729,730,65 and up,Somewhat ,Not very 
730,731,35 - 64,Very ,Very 
731,732,35 - 64,Very ,Somewhat 
732,733,65 and up,Somewhat ,Somewhat 
733,734,65 and up,Somewhat ,Somewhat 
734,735,65 and up,Somewhat ,Somewhat 
735,736,35 - 64,Somewhat ,Somewhat 
736,737,35 - 64,Very ,Not very 
737,738,65 and up,Somewhat ,Somewhat 
738,739,35 - 64,Very ,Not very 
739,740,65 and up,Somewhat ,Not at all 
740,741,35 - 64,Somewhat ,Very 
741,742,65 and up,Very ,Somewhat 
742,743,35 - 64,Somewhat ,Somewhat 
743,744,35 - 64,No answer,No answer
744,745,65 and up,Somewhat ,Very 
745,746,35 - 64,Somewhat ,Not very 
746,747,65 and up,Very ,Not very 
747,748,65 and up,Somewhat ,Not very 
748,749,65 and up,Somewhat ,Not at all 
749,750,65 and up,Very ,Not very 
750,751,35 - 64,Somewhat ,Not at all 
751,752,35 - 64,Somewhat ,Not very 
752,753,35 - 64,Very ,Not very 
753,754,65 and up,Very ,Very 
754,755,65 and up,Somewhat ,Somewhat 
755,756,35 - 64,Very ,Very 
756,757,65 and up,Somewhat ,Not very 
757,758,35 - 64,Very ,Very 
758,759,65 and up,Very ,Not very 
759,760,35 - 64,Very ,Not very 
760,761,65 and up,Somewhat ,Somewhat 
761,762,65 and up,Somewhat ,Somewhat 
762,763,35 - 64,Somewhat ,Somewhat 
763,764,35 - 64,Somewhat ,Somewhat 
764,765,65 and up,Somewhat ,Not very 
765,766,65 and up,Somewhat ,Not very 
766,767,65 and up,Very ,Not very 
767,768,65 and up,Very ,Somewhat 
768,769,35 - 64,No answer,Not at all 
769,770,65 and up,Very ,Not very 
770,771,35 - 64,Very ,Somewhat 
771,772,65 and up,Not very ,Not very 
772,773,35 - 64,Not very ,Not very 
773,774,65 and up,Very ,Somewhat 
774,775,35 - 64,Very ,Very 
775,776,65 and up,Somewhat ,Not very 
776,777,65 and up,Very ,Not very 
777,778,35 - 64,Somewhat ,Somewhat 
778,779,35 - 64,Somewhat ,Somewhat 
779,780,35 - 64,Somewhat ,Not very 
780,781,35 - 64,Very ,Somewhat 
781,782,35 - 64,Very ,Not very 
782,783,65 and up,Very ,Somewhat 
783,784,65 and up,Very ,Somewhat 
784,785,35 - 64,Somewhat ,Not very 
785,786,65 and up,Somewhat ,Somewhat 
786,787,35 - 64,Very ,Somewhat 
787,788,65 and up,Somewhat ,Not very 
788,789,65 and up,Very ,Not very 
789,790,65 and up,Somewhat ,Somewhat 
790,791,65 and up,Very ,Somewhat 
791,792,65 and up,Somewhat ,Not very 
792,793,35 - 64,Somewhat ,Very 
793,794,65 and up,Somewhat ,Somewhat 
794,795,65 and up,Very ,Very 
795,796,35 - 64,Very ,Not very 
796,797,35 - 64,Somewhat ,Not very 
797,798,65 and up,Very ,Somewhat 
798,799,65 and up,Somewhat ,Somewhat 
799,800,65 and up,Not very ,Not very 
800,801,65 and up,Very ,Not very 
801,802,65 and up,Somewhat ,Somewhat 
802,803,35 - 64,Not at all ,Not at all 
803,804,65 and up,Somewhat ,Somewhat 
804,805,35 - 64,Very ,Somewhat 
805,806,35 - 64,Very ,Very 
806,807,35 - 64,Very ,Very 
807,808,65 and up,Very ,Somewhat 
808,809,35 - 64,Very ,Not very 
809,810,65 and up,Very ,Not very 
810,811,65 and up,Very ,Somewhat 
811,812,35 - 64,Very ,Very 
812,813,35 - 64,Somewhat ,Not very 
813,814,65 and up,Somewhat ,Somewhat 
814,815,35 - 64,Somewhat ,Not very 
815,816,65 and up,Not very ,Not very 
816,817,65 and up,No answer,Not at all 
817,818,65 and up,Somewhat ,Somewhat 
818,819,35 - 64,Very ,Not very 
819,820,65 and up,Very ,Not very 
820,821,65 and up,Very ,Very 
821,822,35 - 64,Very ,Somewhat 
822,823,65 and up,Somewhat ,Somewhat 
823,824,35 - 64,Very ,Not very 
824,825,35 - 64,Very ,Somewhat 
825,826,65 and up,Somewhat ,Somewhat 
826,827,35 - 64,Somewhat ,Somewhat 
827,828,65 and up,Somewhat ,Somewhat 
828,829,65 and up,Not very ,Not very 
829,830,65 and up,Somewhat ,Somewhat 
830,831,65 and up,Very ,Not very 
831,832,35 - 64,Very ,Somewhat 
832,833,65 and up,Very ,Somewhat 
833,834,35 - 64,Somewhat ,Not at all 
834,835,65 and up,Somewhat ,Not very 
835,836,65 and up,Very ,Somewhat 
836,837,65 and up,Very ,Not very 
837,838,35 - 64,Very ,Not very 
838,839,35 - 64,Very ,Not very 
839,840,35 - 64,Somewhat ,Somewhat 
840,841,65 and up,Not very ,Not very 
841,842,65 and up,Not very ,Not at all 
842,843,35 - 64,Somewhat ,Somewhat 
843,844,65 and up,Somewhat ,Somewhat 
844,845,35 - 64,Very ,Not very 
845,846,65 and up,Very ,Somewhat 
846,847,65 and up,Very ,Somewhat 
847,848,35 - 64,Somewhat ,Somewhat 
848,849,65 and up,Somewhat ,Somewhat 
849,850,65 and up,Somewhat ,Not very 
850,851,35 - 64,Somewhat ,Not at all 
851,852,65 and up,Very ,Very 
852,853,65 and up,Very ,Not at all 
853,854,35 - 64,Somewhat ,Somewhat 
854,855,35 - 64,Somewhat ,Not very 
855,856,65 and up,Somewhat ,Not very 
856,857,35 - 64,Very ,Very 
857,858,65 and up,Somewhat ,Not at all 
858,859,65 and up,Somewhat ,Somewhat 
859,860,65 and up,Somewhat ,Not very 
860,861,35 - 64,Very ,Not at all 
861,862,65 and up,Somewhat ,Not very 
862,863,35 - 64,Very ,Not very 
863,864,65 and up,Very ,Somewhat 
864,865,65 and up,Somewhat ,Not very 
865,866,65 and up,Very ,Very 
866,867,65 and up,Very ,Somewhat 
867,868,35 - 64,Very ,Not very 
868,869,35 - 64,Somewhat ,Somewhat 
869,870,35 - 64,Not very ,Not very 
870,871,65 and up,Very ,Very 
871,872,65 and up,Somewhat ,Not very 
872,873,35 - 64,Somewhat ,Somewhat 
873,874,35 - 64,Very ,Somewhat 
874,875,65 and up,Somewhat ,Somewhat 
875,876,65 and up,Somewhat ,Somewhat 
876,877,35 - 64,Somewhat ,Somewhat 
877,878,65 and up,Somewhat ,Not very 
878,879,65 and up,Not very ,Not at all 
879,880,35 - 64,Somewhat ,Somewhat 
880,881,35 - 64,Very ,Not at all 
881,882,35 - 64,Somewhat ,Not very 
882,883,65 and up,Not very ,Somewhat 
883,884,65 and up,Very ,Not very 
884,885,65 and up,Somewhat ,Somewhat 
885,886,65 and up,Not very ,Not at all 
886,887,35 - 64,Very ,Somewhat 
887,888,65 and up,Somewhat ,Not very 
888,889,65 and up,Somewhat ,Somewhat 
889,890,35 - 64,Somewhat ,Not very 
890,891,65 and up,Somewhat ,Not at all 
891,892,65 and up,Somewhat ,Very 
892,893,35 - 64,Somewhat ,Somewhat 
893,894,65 and up,Somewhat ,Somewhat 
894,895,65 and up,Somewhat ,Somewhat 
895,896,65 and up,Very ,Not very 
896,897,35 - 64,Not very ,Somewhat 
897,898,35 - 64,Somewhat ,Somewhat 
898,899,65 and up,Very ,Very 
899,900,35 - 64,Somewhat ,Somewhat 
900,901,65 and up,Somewhat ,Not very 
901,902,65 and up,Very ,Somewhat 
902,903,65 and up,Very ,Not at all 
903,904,18 - 34,Somewhat ,Somewhat 
904,905,35 - 64,Not very ,Not very 
905,906,35 - 64,Very ,Very 
906,907,65 and up,Somewhat ,Not very 
907,908,65 and up,Somewhat ,Not very 
908,909,35 - 64,Very ,Somewhat 
909,910,65 and up,Somewhat ,Somewhat 
910,911,65 and up,Somewhat ,Not very 
911,912,65 and up,Very ,Somewhat 
912,913,65 and up,Very ,Very 
913,914,35 - 64,Very ,Somewhat 
914,915,35 - 64,Somewhat ,Somewhat 
915,916,35 - 64,Somewhat ,Somewhat 
916,917,35 - 64,Very ,Not very 
917,918,65 and up,Very ,Not at all 
918,919,35 - 64,Somewhat ,Not very 
919,920,65 and up,Somewhat ,Not very 
920,921,35 - 64,Somewhat ,Somewhat 
921,922,35 - 64,Somewhat ,Very 
922,923,35 - 64,Somewhat ,Somewhat 
923,924,35 - 64,Somewhat ,Somewhat 
924,925,35 - 64,Somewhat ,Somewhat 
925,926,65 and up,Somewhat ,Not very 
926,927,35 - 64,Very ,Not at all 
927,928,35 - 64,Very ,Somewhat 
928,929,65 and up,Somewhat ,Somewhat 
929,930,35 - 64,Somewhat ,Somewhat 
930,931,65 and up,Somewhat ,Somewhat 
931,932,35 - 64,Somewhat ,Not very 
932,933,65 and up,Very ,Somewhat 
933,934,35 - 64,Somewhat ,Somewhat 
934,935,35 - 64,Very ,Very 
935,936,35 - 64,No answer,No answer
936,937,65 and up,Somewhat ,Not very 
937,938,35 - 64,Not very ,Not very 
938,939,35 - 64,Somewhat ,Somewhat 
939,940,35 - 64,Very ,Somewhat 
940,941,65 and up,No answer,Not very 
941,942,65 and up,Very ,Very 
942,943,65 and up,Somewhat ,Somewhat 
943,944,65 and up,Very ,Somewhat 
944,945,35 - 64,Somewhat ,Very 
945,946,18 - 34,Not very ,Not very 
946,947,35 - 64,Very ,Not very 
947,948,65 and up,Somewhat ,Not very 
948,949,65 and up,Somewhat ,Not at all 
949,950,18 - 34,Very ,Not very 
950,951,35 - 64,Somewhat ,Somewhat 
951,952,35 - 64,Very ,Not at all 
952,953,65 and up,Somewhat ,Somewhat 
953,954,65 and up,Somewhat ,Not at all 
954,955,65 and up,Somewhat ,Not very 
955,956,65 and up,Somewhat ,Somewhat 
956,957,65 and up,Not very ,Not at all 
957,958,65 and up,Very ,Very 
958,959,65 and up,Somewhat ,Somewhat 
959,960,35 - 64,Very ,Very 
960,961,35 - 64,Very ,Not at all 
961,962,35 - 64,Very ,Not at all 
962,963,65 and up,Somewhat ,Not very 
963,964,65 and up,Very ,Somewhat 
964,965,65 and up,Somewhat ,Not very 
965,966,65 and up,Very ,Not very 
966,967,35 - 64,Very ,Not at all 
967,968,65 and up,Very ,Somewhat 
968,969,35 - 64,Very ,Not very 
969,970,65 and up,Somewhat ,Not at all 
970,971,65 and up,Very ,Not very 
971,972,35 - 64,Very ,Not very 
972,973,65 and up,Very ,Somewhat 
973,974,35 - 64,Somewhat ,Somewhat 
974,975,35 - 64,Very ,Not at all 
975,976,65 and up,Somewhat ,Somewhat 
976,977,65 and up,Very ,Not at all 
977,978,35 - 64,Very ,Not very 
978,979,35 - 64,Somewhat ,Not very 
979,980,65 and up,Somewhat ,Somewhat 
980,981,65 and up,Somewhat ,Not very 
981,982,65 and up,Very ,Not at all 
982,983,35 - 64,Very ,Somewhat 
983,984,65 and up,Very ,Not very 
984,985,35 - 64,Not very ,Somewhat 
985,986,35 - 64,Not very ,Somewhat 
986,987,35 - 64,Somewhat ,Not very 
987,988,35 - 64,Not very ,Somewhat 
988,989,35 - 64,Somewhat ,Not very 
989,990,35 - 64,Somewhat ,Somewhat 
990,991,65 and up,Not very ,Not very 
991,992,65 and up,Very ,Not very 
992,993,65 and up,Somewhat ,Somewhat 
993,994,35 - 64,Somewhat ,Not very 
994,995,65 and up,Somewhat ,Not at all 
995,996,65 and up,Very ,Somewhat 
996,997,35 - 64,Somewhat ,Not very 
997,998,65 and up,Very ,Not very 
998,999,65 and up,Somewhat ,Not very 
999,1000,35 - 64,Somewhat ,Not very 
1000,1001,35 - 64,Somewhat ,Somewhat 
1001,1002,35 - 64,Not very ,Not very 
1002,1003,65 and up,Not very ,Not very 
1003,1004,35 - 64,Somewhat ,No answer
1004,1005,35 - 64,Not very ,Not at all 
1005,1006,35 - 64,Very ,Not very 
1006,1007,35 - 64,Somewhat ,Not very 
1007,1008,65 and up,Somewhat ,Somewhat 
1008,1009,35 - 64,Somewhat ,Somewhat 
1009,1010,65 and up,Very ,Somewhat 
1010,1011,35 - 64,Somewhat ,Not at all 
1011,1012,35 - 64,Somewhat ,Not very 
1012,1013,35 - 64,Somewhat ,Somewhat 
1013,1014,65 and up,Somewhat ,Not very 
1014,1015,35 - 64,Very ,Very 
1015,1016,18 - 34,Very ,Not very 
1016,1017,35 - 64,Somewhat ,Not at all 
1017,1018,65 and up,Very ,Somewhat 
1018,1019,65 and up,Somewhat ,Somewhat 
1019,1020,65 and up,Somewhat ,Somewhat 
1020,1021,65 and up,Somewhat ,Very 
1021,1022,35 - 64,Somewhat ,Not at all 
1022,1023,35 - 64,Somewhat ,Not at all 
1023,1024,65 and up,Very ,Not at all 
1024,1025,65 and up,Somewhat ,Somewhat 
1025,1026,35 - 64,Not very ,Not very 
1026,1027,35 - 64,Somewhat ,Not very 
1027,1028,35 - 64,Somewhat ,Not at all 
1028,1029,35 - 64,Somewhat ,Not very 
1029,1030,35 - 64,Very ,Not at all 
1030,1031,65 and up,Very ,Very 
1031,1032,65 and up,Somewhat ,Not at all 
1032,1033,65 and up,Somewhat ,Not very 
1033,1034,65 and up,Somewhat ,Somewhat 
1034,1035,35 - 64,Somewhat ,Not very 
1035,1036,35 - 64,Somewhat ,Not at all 
1036,1037,65 and up,Very ,Somewhat 
1037,1038,65 and up,Somewhat ,Not very 
1038,1039,65 and up,Somewhat ,Somewhat 
1039,1040,35 - 64,Somewhat ,Somewhat 
1040,1041,65 and up,Very ,Very 
1041,1042,18 - 34,Not very ,Not at all 
1042,1043,65 and up,Somewhat ,Somewhat 
1043,1044,35 - 64,Somewhat ,Somewhat 
1044,1045,18 - 34,Somewhat ,Not very 
1045,1046,35 - 64,Somewhat ,Not very 
1046,1047,35 - 64,Very ,Not very 
1047,1048,65 and up,Somewhat ,Not at all 
1048,1049,35 - 64,Very ,Not at all 
1049,1050,65 and up,Somewhat ,Very 
1050,1051,65 and up,Very ,Not very 
1051,1052,35 - 64,Somewhat ,Not very 
1052,1053,18 - 34,Somewhat ,Not very 
1053,1054,35 - 64,Somewhat ,Somewhat 
1054,1055,65 and up,Not very ,Not very 
1055,1056,18 - 34,Somewhat ,Not at all 
1056,1057,65 and up,Somewhat ,Not very 
1057,1058,35 - 64,Very ,Somewhat 
1058,1059,35 - 64,Very ,Not at all 
1059,1060,65 and up,Very ,Somewhat 
1060,1061,35 - 64,Somewhat ,Not at all 
1061,1062,65 and up,Somewhat ,Somewhat 
1062,1063,65 and up,Very ,Not at all 
1063,1064,65 and up,Somewhat ,Not very 
1064,1065,65 and up,Somewhat ,Not very 
1065,1066,35 - 64,Somewhat ,Not very 
1066,1067,35 - 64,Somewhat ,Not very 
1067,1068,35 - 64,Somewhat ,Not very 
1068,1069,35 - 64,Somewhat ,Somewhat 
1069,1070,65 and up,Very ,Not very 
1070,1071,35 - 64,Somewhat ,Somewhat 
1071,1072,65 and up,Somewhat ,Somewhat 
1072,1073,65 and up,Very ,Not at all 
1073,1074,35 - 64,Very ,Somewhat 
1074,1075,35 - 64,Not at all ,Not very 
1075,1076,65 and up,Very ,Not very 
1076,1077,65 and up,Somewhat ,Not very 
1077,1078,65 and up,Somewhat ,Not very 
1078,1079,35 - 64,Somewhat ,Somewhat 
1079,1080,35 - 64,Somewhat ,Somewhat 
1080,1081,35 - 64,Very ,Somewhat 
1081,1082,35 - 64,Very ,Not very 
1082,1083,65 and up,Very ,Not at all 
1083,1084,35 - 64,Very ,Not at all 
1084,1085,35 - 64,Very ,Somewhat 
1085,1086,35 - 64,Somewhat ,Not very 
1086,1087,35 - 64,Somewhat ,Somewhat 
1087,1088,65 and up,Not very ,Somewhat 
1088,1089,65 and up,Somewhat ,Not at all 
1089,1090,65 and up,Somewhat ,Not very 
1090,1091,65 and up,Very ,Not at all 
1091,1092,65 and up,Somewhat ,Somewhat 
1092,1093,65 and up,Somewhat ,Somewhat 
1093,1094,35 - 64,Very ,Very 
1094,1095,65 and up,Somewhat ,Not very 
1095,1096,65 and up,Very ,Not at all 
1096,1097,35 - 64,Somewhat ,Somewhat 
1097,1098,65 and up,Very ,Not at all 
1098,1099,35 - 64,Somewhat ,Not very 
1099,1100,35 - 64,Somewhat ,Somewhat 
1100,1101,35 - 64,No answer,Not at all 
1101,1102,65 and up,Very ,Somewhat 
1102,1103,65 and up,Somewhat ,Not very 
1103,1104,65 and up,Very ,Very 
1104,1105,35 - 64,Very ,Somewhat 
1105,1106,35 - 64,Very ,Not very 
1106,1107,35 - 64,Not very ,Not very 
1107,1108,35 - 64,Not at all ,Somewhat 
1108,1109,35 - 64,Very ,Not very 
1109,1110,65 and up,Somewhat ,Somewhat 
1110,1111,35 - 64,Somewhat ,Not very 
1111,1112,65 and up,Somewhat ,Very 
1112,1113,35 - 64,Somewhat ,Not very 
1113,1114,65 and up,Very ,Very 
1114,1115,65 and up,Very ,Somewhat 
1115,1116,65 and up,Not very ,Not very 
1116,1117,35 - 64,Very ,Very 
1117,1118,65 and up,Somewhat ,Not very 
1118,1119,65 and up,Somewhat ,Not very 
1119,1120,65 and up,Very ,Very 
1120,1121,18 - 34,Somewhat ,Not at all 
1121,1122,35 - 64,Somewhat ,Somewhat 
1122,1123,35 - 64,Very ,Very 
1123,1124,35 - 64,Very ,Somewhat 
1124,1125,35 - 64,Not very ,Not very 
1125,1126,65 and up,Very ,Very 
1126,1127,35 - 64,Very ,Somewhat 
1127,1128,35 - 64,Very ,Not at all 
1128,1129,65 and up,Somewhat ,Somewhat 
1129,1130,35 - 64,Very ,Somewhat 
1130,1131,35 - 64,Somewhat ,Somewhat 
1131,1132,35 - 64,Very ,Somewhat 
1132,1133,65 and up,Not very ,Somewhat 
1133,1134,65 and up,Very ,Not very 
1134,1135,35 - 64,Somewhat ,Not at all 
1135,1136,65 and up,Somewhat ,Not at all 
1136,1137,65 and up,Not very ,Not very 
1137,1138,35 - 64,Very ,Not very 
1138,1139,65 and up,Very ,Not very 
1139,1140,65 and up,Somewhat ,Somewhat 
1140,1141,65 and up,Somewhat ,Somewhat 
1141,1142,35 - 64,Very ,Somewhat 
1142,1143,65 and up,Very ,Somewhat 
1143,1144,35 - 64,Very ,Somewhat 
1144,1145,35 - 64,Somewhat ,Somewhat 
1145,1146,35 - 64,Somewhat ,Not very 
1146,1147,35 - 64,Somewhat ,Not very 
1147,1148,65 and up,Somewhat ,Somewhat 
1148,1149,65 and up,Somewhat ,Not very 
1149,1150,65 and up,Somewhat ,Not very 
1150,1151,65 and up,Very ,Not at all 
1151,1152,35 - 64,Very ,Not at all 
1152,1153,35 - 64,Very ,Somewhat 
1153,1154,35 - 64,Somewhat ,Not very 
1154,1155,65 and up,Very ,Somewhat 
1155,1156,65 and up,Somewhat ,Not very 
1156,1157,35 - 64,Not at all ,Not at all 
1157,1158,35 - 64,Somewhat ,Not at all 
1158,1159,35 - 64,Somewhat ,Not very 
1159,1160,65 and up,No answer,Not at all 
1160,1161,65 and up,Not very ,Not very 
1161,1162,35 - 64,Somewhat ,Somewhat 
1162,1163,35 - 64,Somewhat ,Somewhat 
1163,1164,35 - 64,Somewhat ,Not at all 
1164,1165,35 - 64,Somewhat ,Somewhat 
1165,1166,65 and up,Somewhat ,Not very 
1166,1167,65 and up,Somewhat ,Not very 
1167,1168,65 and up,Somewhat ,Not at all 
1168,1169,35 - 64,Not very ,Not at all 
1169,1170,65 and up,Not very ,Not at all 
1170,1171,65 and up,Not at all ,Not at all 
1171,1172,35 - 64,Very ,Very 
1172,1173,35 - 64,Very ,Not very 
1173,1174,35 - 64,Very ,Very 
1174,1175,35 - 64,Very ,Not at all 
1175,1176,18 - 34,Somewhat ,Somewhat 
1176,1177,65 and up,Very ,Not very 
1177,1178,35 - 64,Somewhat ,Somewhat 
1178,1179,65 and up,Somewhat ,Somewhat 
1179,1180,18 - 34,Somewhat ,Somewhat 
1180,1181,65 and up,Not very ,Very 
1181,1182,65 and up,Very ,Not at all 
1182,1183,35 - 64,Somewhat ,Somewhat 
1183,1184,35 - 64,Very ,Not at all 
1184,1185,35 - 64,Somewhat ,Not at all 
1185,1186,35 - 64,Somewhat ,Somewhat 
1186,1187,65 and up,Very ,Very 
1187,1188,18 - 34,Somewhat ,Very 
1188,1189,35 - 64,Somewhat ,Somewhat 
1189,1190,65 and up,Somewhat ,Not very 
1190,1191,65 and up,Very ,Not very 
1191,1192,65 and up,Very ,Not very 
1192,1193,65 and up,Somewhat ,Somewhat 
1193,1194,35 - 64,Very ,Somewhat 
1194,1195,65 and up,Somewhat ,Somewhat 
1195,1196,35 - 64,Somewhat ,Somewhat 
1196,1197,18 - 34,Somewhat ,Somewhat 
1197,1198,35 - 64,Somewhat ,Not very 
1198,1199,35 - 64,Somewhat ,Somewhat 
1199,1200,35 - 64,Somewhat ,Not very 
1200,1201,35 - 64,Very ,Somewhat 
1201,1202,35 - 64,Not very ,Not at all 
1202,1203,35 - 64,Very ,Not very 
1203,1204,35 - 64,Not very ,Not very 
1204,1205,35 - 64,Somewhat ,Somewhat 
1205,1206,35 - 64,Somewhat ,Somewhat 
1206,1207,35 - 64,Somewhat ,Not at all 
1207,1208,35 - 64,Somewhat ,Somewhat 
1208,1209,35 - 64,Very ,Very 
1209,1210,35 - 64,Very ,Somewhat 
1210,1211,35 - 64,Very ,Not very 
1211,1212,35 - 64,Somewhat ,Not at all 
1212,1213,35 - 64,Somewhat ,Not very 
1213,1214,35 - 64,Somewhat ,Not very 
1214,1215,35 - 64,Very ,Somewhat 
1215,1216,35 - 64,Somewhat ,Not at all 
1216,1217,35 - 64,Very ,Not at all 
1217,1218,35 - 64,Very ,Not at all 
1218,1219,35 - 64,Not very ,Somewhat 
1219,1220,35 - 64,Somewhat ,Somewhat 
1220,1221,35 - 64,Somewhat ,Somewhat 
1221,1222,35 - 64,Somewhat ,Very 
1222,1223,35 - 64,Very ,Not at all 
1223,1224,35 - 64,Very ,Very 
1224,1225,35 - 64,Very ,Very 
1225,1226,35 - 64,Somewhat ,Very 
1226,1227,35 - 64,Very ,Very 
1227,1228,35 - 64,Somewhat ,Not very 
1228,1229,35 - 64,Very ,Somewhat 
1229,1230,35 - 64,Not at all ,Not at all 
1230,1231,35 - 64,Very ,Not very 
1231,1232,35 - 64,Very ,Not very 
1232,1233,35 - 64,Very ,Not at all 
1233,1234,35 - 64,Somewhat ,Somewhat 
1234,1235,35 - 64,Very ,Somewhat 
1235,1236,35 - 64,Very ,Very 
1236,1237,35 - 64,Somewhat ,Not very 
1237,1238,35 - 64,Somewhat ,Not at all 
1238,1239,35 - 64,Not very ,Somewhat 
1239,1240,35 - 64,Somewhat ,Somewhat 
1240,1241,35 - 64,Somewhat ,Somewhat 
1241,1242,35 - 64,Somewhat ,Somewhat 
1242,1243,35 - 64,Not very ,Somewhat 
1243,1244,35 - 64,Very ,Somewhat 
1244,1245,35 - 64,Very ,Not at all 
1245,1246,35 - 64,Very ,Somewhat 
1246,1247,35 - 64,Very ,Very 
1247,1248,35 - 64,Somewhat ,Somewhat 
1248,1249,35 - 64,Somewhat ,Somewhat 
1249,1250,35 - 64,Not very ,Not very 
1250,1251,35 - 64,Somewhat ,Somewhat 
1251,1252,35 - 64,Somewhat ,Not very 
1252,1253,35 - 64,Very ,Not at all 
1253,1254,35 - 64,Somewhat ,Somewhat 
1254,1255,35 - 64,Somewhat ,Somewhat 
1255,1256,35 - 64,Somewhat ,Somewhat 
1256,1257,35 - 64,Very ,Not at all 
1257,1258,35 - 64,Very ,Somewhat 
1258,1259,35 - 64,Somewhat ,Somewhat 
1259,1260,35 - 64,Very ,Not very 
1260,1261,35 - 64,Very ,Not very 
1261,1262,35 - 64,Very ,Not very 
1262,1263,35 - 64,Somewhat ,Very 
1263,1264,35 - 64,Somewhat ,Not very 
1264,1265,35 - 64,Somewhat ,Not very 
1265,1266,35 - 64,Not very ,Somewhat 
1266,1267,35 - 64,Very ,Very 
1267,1268,65 and up,Somewhat ,Not very 
1268,1269,35 - 64,Somewhat ,Not very 
1269,1270,35 - 64,Somewhat ,Not very 
1270,1271,35 - 64,Very ,Not at all 
1271,1272,35 - 64,Somewhat ,Not very 
1272,1273,35 - 64,Somewhat ,Not very 
1273,1274,35 - 64,Not very ,Somewhat 
1274,1275,35 - 64,Somewhat ,Very 
1275,1276,35 - 64,Very ,Not very 
1276,1277,35 - 64,Very ,Not at all 
1277,1278,35 - 64,Very ,Very 
1278,1279,18 - 34,Somewhat ,Somewhat 
1279,1280,18 - 34,Somewhat ,Somewhat 
1280,1281,35 - 64,Somewhat ,Somewhat 
1281,1282,18 - 34,Somewhat ,Somewhat 
1282,1283,35 - 64,Somewhat ,Somewhat 
1283,1284,18 - 34,Very ,Very 
1284,1285,35 - 64,Very ,Very 
1285,1286,18 - 34,Very ,Very 
1286,1287,65 and up,Somewhat ,Somewhat 
1287,1288,35 - 64,Somewhat ,Somewhat 
1288,1289,35 - 64,No answer,No answer
1289,1290,35 - 64,Very ,Somewhat 
1290,1291,18 - 34,Somewhat ,Somewhat 
1291,1292,35 - 64,Very ,Somewhat 
1292,1293,35 - 64,Very ,Somewhat 
1293,1294,35 - 64,Somewhat ,Somewhat 
1294,1295,35 - 64,Very ,Somewhat 
1295,1296,18 - 34,Somewhat ,Somewhat 
1296,1297,35 - 64,Somewhat ,Not very 
1297,1298,35 - 64,Not very ,Somewhat 
1298,1299,35 - 64,Very ,Very 
